COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
3,f_f003543,2,2,1,1
2,f_f003631,2,2,1,1
1,f_f003631,1,2,4,1
3,f_f003631,2,1,1,1
1,f_f003747,1,2,4,1
1,f_f003783,8,2,3,1
1,f_f003828,1,1,4,1
2,f_f004013,2,2,3,1
1,f_f004013,1,2,5,1
1,f_f004078,1,1,4,1
3,f_f004078,2,1,2,1
2,f_f004078,2,1,2,1
1,f_f004103,2,2,3,1
1,f_f004131,8,1,3,1
2,f_f004305,2,2,1,1
1,f_f004305,1,2,4,1
1,f_f004470,1,1,6,1
2,f_f004470,2,2,3,1
1,f_f004552,1,1,5,1
2,f_f004552,2,1,2,1
1,f_f004618,1,2,4,1
3,f_f004618,2,2,1,1
2,f_f004618,2,2,1,1
2,f_f004657,8,2,3,1
1,f_f004657,8,1,4,1
1,f_f004717,1,1,4,1
1,f_f004740,8,2,4,1
1,f_f004764,7,2,3,1
1,f_f004768,8,1,3,1
1,f_f004947,8,2,3,2
1,f_f005062,3,2,6,1
2,f_f005062,5,1,3,1
2,f_f005086,2,2,3,1
1,f_f005086,1,2,6,1
1,f_f005096,1,1,5,1
1,f_f005133,3,2,7,1
1,f_f005161,8,1,4,1
1,f_f005287,7,2,4,1
1,f_f005289,1,1,6,1
2,f_f005289,2,2,3,1
1,f_f005385,8,2,3,1
2,f_f005403,3,2,6,1
1,f_f005403,3,1,6,1
3,f_f005403,5,1,3,1
1,f_f005414,8,2,3,3
1,f_f005444,8,2,4,1
1,f_f005445,7,2,3,1
1,f_f005449,8,2,3,1
1,f_f005501,1,1,6,1
1,f_f005535,7,2,3,1
1,f_f005573,8,1,3,3
1,f_f005602,7,2,3,1
1,f_f005686,8,1,3,1
1,f_f005823,1,1,4,1
1,f_f005914,8,2,3,3
1,f_f006006,8,1,3,1
2,f_f006357,2,2,1,1
4,f_f006357,6,2,2,1
1,f_f006357,2,1,1,1
3,f_f006357,6,2,5,1
1,f_f006380,1,2,4,1
2,f_f006380,2,1,1,1
1,f_f006481,7,2,3,1
2,f_f006526,2,2,1,1
1,f_f006526,1,1,5,1
3,f_f006526,2,2,1,1
3,f_f006655,7,2,3,1
2,f_f006655,7,1,3,1
1,f_f006655,7,1,3,1
1,f_f006739,8,1,3,1
1,f_f006888,8,1,4,1
1,f_f006895,8,1,3,1
1,f_f006926,8,2,3,1
1,f_f006932,7,2,4,3
2,f_f007107,3,2,8,3
1,f_f007107,1,1,5,1
3,f_f007107,5,2,5,3
1,f_f007188,2,2,4,1
2,f_f007228,2,2,1,1
