TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
f_f000267,2305190004,1,0,,비빔콧등치기국수;생곤드레밥;통메밀부침;녹두빈대떡,N,1,
f_f000267,2305190005,1,0,,오곡라떼;오미자에이드,N,1,
f_f000267,2305190008,1,0,,마르게리따 피자;블러드오렌지에이드,N,1,
f_f000267,2305200002,1,0,,한우불고기버섯전골,N,1,
f_f000267,2305200001,3,0,,가리왕산 케이블카,N,1,2
f_f000267,2305190008,3,3,,듀오볼 테라피 클래스,Y,5,1
f_f000267,2305190008,3,4,,스파;사우나,N,5,1
f_f000267,2305190008,3,5,,명상 클래스,Y,5,1
f_f000267,2305190006,4,1,,,,,
f_f000267,2305200001,4,1,,,,,
f_f000267,2305200003,5,0,,,,,
f_f000267,2305190005,5,1,,,,,
f_f000267,2305190008,5,1,,,,,
f_f000267,2305190003,7,0,,,,,
f_f000267,2305190002,99,0,,,,,
f_f000291,2305190003,1,0,,커피와 샌드위치,Y,1,
f_f000291,2305190005,1,0,,자몽에이드,N,1,
f_f000291,2305190004,1,2,,꼬막비빔밥,N,1,
f_f000291,2305190005,3,1,,1.많은 사람들 2.슬픈 나의 젊은 날,N,5,2
f_f000291,2305190004,4,0,,,,,
f_f000291,2305190004,5,1,,,,,
f_f000291,2305190003,7,1,,,,,
f_f000338,2305200003,1,0,,등심돈가스;떡만두라면,N,1,
f_f000338,2305200006,1,0,,보리커피;멜크림,N,1,
f_f000338,2305210003,1,0,,멸치쌈밥;갈릭파전,N,1,
f_f000338,2305210004,1,0,,아이스 아메리카노 2잔,N,1,
f_f000338,2305200002,1,1,,모듬회,N,2,
f_f000338,2305200005,3,0,,양 먹이 주기,N,1,2
f_f000338,2305200004,3,2,,남해각 역사 전시,N,5,2
f_f000338,2305200004,4,1,,,,,
f_f000338,2305200005,4,1,,,,,
f_f000338,2305200007,4,1,,,,,
f_f000338,2305210002,4,1,,,,,
f_f000338,2305200002,4,2,,,,,
f_f000338,2305200007,5,0,,,,,
f_f000338,2305210002,5,0,,,,,
f_f000338,2305200003,5,1,,,,,
f_f000338,2305200006,5,1,,,,,
f_f000338,2305210005,5,2,,,,,
f_f000338,2305200002,5,3,,,,,
f_f000338,2305200004,5,3,,,,,
f_f000338,2305210005,7,1,,,,,
f_f000338,2305200003,7,2,,,,,
f_f000382,2305190003,1,0,,수제햄버거,Y,1,
f_f000382,2305190004,1,0,,아이스크림2개. 탄산음료1잔,N,1,
f_f000382,2305190006,1,0,,컵라면. 젤리,N,2,
f_f000382,2305190004,2,1,,색칠놀이 종이. 이젤용 종이롤. 수성색연필. 물감,N,1,
f_f000382,2305190003,4,2,,,,,
f_f000382,2305190006,5,1,,,,,
f_f000382,2305190002,6,0,,플로깅,N,5,
f_f000384,2305190002,1,0,,동치미국수;비빔국수,N,1,
f_f000384,2305190004,1,0,,벌집 아이스크림,N,1,
f_f000384,2305200004,1,0,,아몬드크림라떼;마들렌;티,N,1,
f_f000384,2305200002,1,1,,물회;전복물회;회덮밥,N,1,
f_f000384,2305190003,2,1,,닭강정,N,1,
f_f000384,2305190010,2,1,,꽈배기;핫도그;찹쌀팥도넛,N,1,
f_f000384,2305200001,3,0,,케이블카 탑승(왕복),N,1,1
f_f000384,2305200002,3,0,,투명카누 체험,N,1,1
f_f000384,2305200003,4,0,,,,,
f_f000384,2305200001,4,1,,,,,
f_f000384,2305200004,4,1,,,,,
f_f000384,2305190003,4,2,,,,,
