MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID
f000027_900055,126.9582686,35.9589248,2023-04-28 07:48,f_f000027
f000027_900055,126.9582686,35.9589248,2023-04-28 07:49,f_f000027
f000027_900055,126.9583922,35.959427,2023-04-28 07:51,f_f000027
f000027_900055,126.9589091,35.9611453,2023-04-28 07:51,f_f000027
f000027_900055,126.959705,35.9615362,2023-04-28 07:52,f_f000027
f000027_900055,126.9616739,35.9610029,2023-04-28 07:52,f_f000027
f000027_900055,126.963012,35.9622119,2023-04-28 07:53,f_f000027
f000027_900055,126.9665786,35.9602921,2023-04-28 07:53,f_f000027
f000027_900055,126.9700083,35.9586256,2023-04-28 07:54,f_f000027
f000027_900055,126.9728166,35.9584164,2023-04-28 07:54,f_f000027
f000027_900055,126.9769098,35.9584885,2023-04-28 07:55,f_f000027
f000027_900055,126.9807203,35.9585733,2023-04-28 07:55,f_f000027
f000027_900055,126.9812111,35.9586023,2023-04-28 07:56,f_f000027
f000027_900055,126.9812111,35.9586023,2023-04-28 07:56,f_f000027
f000027_900055,126.9812111,35.9586023,2023-04-28 07:56,f_f000027
f000027_900055,126.9812111,35.9586023,2023-04-28 07:57,f_f000027
f000027_900055,126.9852063,35.9589139,2023-04-28 07:57,f_f000027
f000027_900055,126.9897585,35.9595764,2023-04-28 07:58,f_f000027
f000027_900055,126.9938027,35.9600928,2023-04-28 07:58,f_f000027
f000027_900055,126.9967789,35.960403,2023-04-28 07:59,f_f000027
f000027_900055,126.9971363,35.9604853,2023-04-28 07:59,f_f000027
f000027_900055,126.9971363,35.9604853,2023-04-28 08:00,f_f000027
f000027_900055,127.001031,35.9609662,2023-04-28 08:00,f_f000027
f000027_900055,127.0050052,35.9625518,2023-04-28 08:01,f_f000027
f000027_900055,127.00912,35.9639881,2023-04-28 08:01,f_f000027
f000027_900055,127.0125905,35.9661549,2023-04-28 08:02,f_f000027
f000027_900055,127.0163111,35.96794,2023-04-28 08:02,f_f000027
f000027_900055,127.020642,35.9700736,2023-04-28 08:02,f_f000027
f000027_900055,127.0256169,35.9705586,2023-04-28 08:03,f_f000027
f000027_900055,127.0303972,35.9718982,2023-04-28 08:03,f_f000027
f000027_900055,127.0353266,35.9746256,2023-04-28 08:04,f_f000027
f000027_900055,127.0386267,35.9779898,2023-04-28 08:04,f_f000027
f000027_900055,127.0415869,35.981219,2023-04-28 08:05,f_f000027
f000027_900055,127.0458036,35.9842789,2023-04-28 08:05,f_f000027
f000027_900055,127.0501584,35.9863404,2023-04-28 08:06,f_f000027
f000027_900055,127.0553949,35.9870488,2023-04-28 08:06,f_f000027
f000027_900055,127.0611124,35.988111,2023-04-28 08:07,f_f000027
f000027_900055,127.0671263,35.9885325,2023-04-28 08:07,f_f000027
f000027_900055,127.0731712,35.9890358,2023-04-28 08:07,f_f000027
f000027_900055,127.0804586,35.9897318,2023-04-28 08:08,f_f000027
f000027_900055,127.0865328,35.9888104,2023-04-28 08:08,f_f000027
f000027_900055,127.0920489,35.9890967,2023-04-28 08:09,f_f000027
f000027_900055,127.097663,35.9893237,2023-04-28 08:09,f_f000027
f000027_900055,127.1043659,35.9886445,2023-04-28 08:10,f_f000027
f000027_900055,127.1077872,35.9875343,2023-04-28 08:10,f_f000027
f000027_900055,127.1118614,35.9896559,2023-04-28 08:11,f_f000027
f000027_900055,127.1134052,35.9868185,2023-04-28 08:11,f_f000027
f000027_900055,127.1096492,35.9813343,2023-04-28 08:12,f_f000027
f000027_900055,127.1058155,35.9753021,2023-04-28 08:12,f_f000027
f000027_900055,127.1046974,35.9686718,2023-04-28 08:13,f_f000027
f000027_900055,127.1036593,35.96255,2023-04-28 08:13,f_f000027
f000027_900055,127.1013049,35.9571808,2023-04-28 08:13,f_f000027
f000027_900055,127.0981247,35.9521799,2023-04-28 08:14,f_f000027
f000027_900055,127.0940433,35.9475124,2023-04-28 08:14,f_f000027
f000027_900055,127.0920344,35.941593,2023-04-28 08:15,f_f000027
f000027_900055,127.0956774,35.9367037,2023-04-28 08:15,f_f000027
f000027_900055,127.0991809,35.9309383,2023-04-28 08:16,f_f000027
f000027_900055,127.1038163,35.9254048,2023-04-28 08:16,f_f000027
f000027_900055,127.1097899,35.9211001,2023-04-28 08:17,f_f000027
f000027_900055,127.1162425,35.9169633,2023-04-28 08:17,f_f000027
f000027_900055,127.1235513,35.913826,2023-04-28 08:18,f_f000027
f000027_900055,127.1302636,35.9095208,2023-04-28 08:18,f_f000027
f000027_900055,127.136075,35.9047782,2023-04-28 08:19,f_f000027
f000027_900055,127.1434968,35.9013754,2023-04-28 08:19,f_f000027
f000027_900055,127.1510194,35.89867,2023-04-28 08:19,f_f000027
f000027_900055,127.158219,35.8951232,2023-04-28 08:20,f_f000027
f000027_900055,127.1635233,35.8900046,2023-04-28 08:20,f_f000027
f000027_900055,127.1696352,35.885211,2023-04-28 08:21,f_f000027
f000027_900055,127.1772119,35.882676,2023-04-28 08:21,f_f000027
f000027_900055,127.1856461,35.8814751,2023-04-28 08:22,f_f000027
f000027_900055,127.1931043,35.8781049,2023-04-28 08:22,f_f000027
f000027_900055,127.1997385,35.8745546,2023-04-28 08:23,f_f000027
f000027_900055,127.2052712,35.8696831,2023-04-28 08:23,f_f000027
f000027_900055,127.2122859,35.8668243,2023-04-28 08:24,f_f000027
f000027_900055,127.2203484,35.866003,2023-04-28 08:24,f_f000027
f000027_900055,127.2292091,35.8650976,2023-04-28 08:24,f_f000027
f000027_900055,127.2382068,35.864206,2023-04-28 08:25,f_f000027
f000027_900055,127.2468702,35.862926,2023-04-28 08:25,f_f000027
f000027_900055,127.2518763,35.857156,2023-04-28 08:26,f_f000027
f000027_900055,127.2545986,35.8506032,2023-04-28 08:26,f_f000027
f000027_900055,127.2571981,35.8438673,2023-04-28 08:27,f_f000027
f000027_900055,127.2579302,35.8339218,2023-04-28 08:27,f_f000027
f000027_900055,127.257121,35.8273625,2023-04-28 08:28,f_f000027
f000027_900055,127.2529626,35.8219116,2023-04-28 08:28,f_f000027
f000027_900055,127.2489705,35.814517,2023-04-28 08:29,f_f000027
f000027_900055,127.2513419,35.8080787,2023-04-28 08:29,f_f000027
f000027_900055,127.2575125,35.8037506,2023-04-28 08:30,f_f000027
f000027_900055,127.2656479,35.8026453,2023-04-28 08:30,f_f000027
f000027_900055,127.2732874,35.800911,2023-04-28 08:31,f_f000027
f000027_900055,127.2806304,35.7981754,2023-04-28 08:31,f_f000027
f000027_900055,127.308487,35.7920018,2023-04-28 08:33,f_f000027
f000027_900055,127.3160916,35.7904878,2023-04-28 08:33,f_f000027
f000027_900055,127.3192592,35.7892718,2023-04-28 08:34,f_f000027
f000027_900055,127.3345396,35.7799477,2023-04-28 08:35,f_f000027
f000027_900055,127.3421588,35.776858,2023-04-28 08:35,f_f000027
f000027_900055,127.3507059,35.7744023,2023-04-28 08:36,f_f000027
f000027_900055,127.358638,35.7708833,2023-04-28 08:36,f_f000027
f000027_900055,127.3653359,35.7663219,2023-04-28 08:36,f_f000027
f000027_900055,127.3738374,35.7639808,2023-04-28 08:37,f_f000027
f000027_900055,127.3823595,35.765202,2023-04-28 08:37,f_f000027
f000027_900055,127.3905218,35.768238,2023-04-28 08:38,f_f000027
f000027_900055,127.3975441,35.7714215,2023-04-28 08:38,f_f000027
f000027_900055,127.4045424,35.7748967,2023-04-28 08:39,f_f000027
f000027_900055,127.4165242,35.7775936,2023-04-28 08:39,f_f000027
f000027_900055,127.4248152,35.776533,2023-04-28 08:40,f_f000027
f000027_900055,127.433132,35.774579,2023-04-28 08:40,f_f000027
f000027_900055,127.4414675,35.7727114,2023-04-28 08:41,f_f000027
f000027_900055,127.4499022,35.7713067,2023-04-28 08:41,f_f000027
f000027_900055,127.4586834,35.7724334,2023-04-28 08:42,f_f000027
f000027_900055,127.4668728,35.7747719,2023-04-28 08:42,f_f000027
f000027_900055,127.4758323,35.7745625,2023-04-28 08:43,f_f000027
f000027_900055,127.4853888,35.7731994,2023-04-28 08:43,f_f000027
f000027_900055,127.4940557,35.7716855,2023-04-28 08:44,f_f000027
f000027_900055,127.5016836,35.7684181,2023-04-28 08:44,f_f000027
f000027_900055,127.507401,35.762788,2023-04-28 08:45,f_f000027
f000027_900055,127.5113558,35.7563087,2023-04-28 08:45,f_f000027
f000027_900055,127.5146823,35.7514622,2023-04-28 08:46,f_f000027
f000027_900055,127.5289711,35.7429952,2023-04-28 08:46,f_f000027
f000027_900055,127.5372667,35.7403084,2023-04-28 08:47,f_f000027
f000027_900055,127.5449103,35.7366273,2023-04-28 08:47,f_f000027
f000027_900055,127.5462916,35.7358443,2023-04-28 08:48,f_f000027
f000027_900055,127.5462916,35.7358443,2023-04-28 08:48,f_f000027
f000027_900055,127.5462916,35.7358443,2023-04-28 08:49,f_f000027
f000027_900055,127.5782744,35.716216,2023-04-28 08:49,f_f000027
f000027_900055,127.5870986,35.7154164,2023-04-28 08:50,f_f000027
f000027_900055,127.5955349,35.7181703,2023-04-28 08:50,f_f000027
f000027_900055,127.6013367,35.7235417,2023-04-28 08:51,f_f000027
f000027_900055,127.605244,35.7291122,2023-04-28 08:51,f_f000027
f000027_900055,127.6103117,35.7276499,2023-04-28 08:52,f_f000027
f000027_900055,127.6114146,35.7211067,2023-04-28 08:52,f_f000027
f000027_900055,127.6152326,35.7159011,2023-04-28 08:53,f_f000027
f000027_900055,127.6204007,35.7109869,2023-04-28 08:53,f_f000027
f000027_900055,127.6256467,35.7060931,2023-04-28 08:54,f_f000027
f000027_900055,127.6256467,35.7060931,2023-04-28 08:54,f_f000027
f000027_900055,127.6306693,35.7023307,2023-04-28 08:55,f_f000027
f000027_900055,127.6501375,35.6906014,2023-04-28 08:55,f_f000027
f000027_900055,127.6597831,35.6854023,2023-04-28 08:56,f_f000027
f000027_900055,127.6634258,35.6793163,2023-04-28 08:56,f_f000027
f000027_900055,127.6673524,35.672597,2023-04-28 08:57,f_f000027
f000027_900055,127.6728552,35.6665731,2023-04-28 08:57,f_f000027
f000027_900055,127.6787058,35.6607961,2023-04-28 08:58,f_f000027
f000027_900055,127.6872326,35.657624,2023-04-28 08:58,f_f000027
f000027_900055,127.6934978,35.6535559,2023-04-28 08:59,f_f000027
f000027_900055,127.6999955,35.6490854,2023-04-28 08:59,f_f000027
f000027_900055,127.7042862,35.6433958,2023-04-28 09:00,f_f000027
f000027_900055,127.706467,35.6368155,2023-04-28 09:00,f_f000027
f000027_900055,127.713611,35.6335263,2023-04-28 09:01,f_f000027
f000027_900055,127.7215926,35.6302636,2023-04-28 09:01,f_f000027
f000027_900055,127.7291715,35.6262769,2023-04-28 09:01,f_f000027
f000027_900055,127.7378315,35.6246115,2023-04-28 09:02,f_f000027
f000027_900055,127.7436376,35.6194545,2023-04-28 09:02,f_f000027
f000027_900055,127.7520186,35.6186074,2023-04-28 09:03,f_f000027
f000027_900055,127.7596032,35.6163961,2023-04-28 09:03,f_f000027
f000027_900055,127.7722991,35.5985488,2023-04-28 09:05,f_f000027
f000027_900055,127.7720869,35.5911448,2023-04-28 09:05,f_f000027
f000027_900055,127.7710317,35.5891102,2023-04-28 09:06,f_f000027
f000027_900055,127.7710317,35.5891102,2023-04-28 09:06,f_f000027
f000027_900055,127.7584954,35.5727513,2023-04-28 09:07,f_f000027
f000027_900055,127.7584954,35.5727513,2023-04-28 09:08,f_f000027
f000027_900055,127.7681077,35.5393296,2023-04-28 09:09,f_f000027
f000027_900055,127.772424,35.5309893,2023-04-28 09:09,f_f000027
f000027_900055,127.7747966,35.5272244,2023-04-28 09:10,f_f000027
f000027_900055,127.8041089,35.5140331,2023-04-28 09:11,f_f000027
f000027_900055,127.8108701,35.4954476,2023-04-28 09:13,f_f000027
f000027_900055,127.8350659,35.4774525,2023-04-28 09:15,f_f000027
f000027_900055,127.841015,35.4733798,2023-04-28 09:15,f_f000027
f000027_900055,127.8463242,35.468659,2023-04-28 09:16,f_f000027
f000027_900055,127.8502924,35.4628943,2023-04-28 09:16,f_f000027
f000027_900055,127.8497949,35.4556307,2023-04-28 09:17,f_f000027
f000027_900055,127.8491935,35.4511391,2023-04-28 09:19,f_f000027
f000027_900055,127.8491935,35.4511391,2023-04-28 09:19,f_f000027
f000027_900055,127.865121,35.4131034,2023-04-28 09:20,f_f000027
f000027_900055,127.8655245,35.4126922,2023-04-28 09:20,f_f000027
f000027_900055,127.8655245,35.4126922,2023-04-28 09:21,f_f000027
f000027_900055,127.8785575,35.3996726,2023-04-28 09:21,f_f000027
f000027_900055,127.8785575,35.3996726,2023-04-28 09:22,f_f000027
f000027_900055,127.907419,35.3870881,2023-04-28 09:22,f_f000027
f000027_900055,127.9149472,35.3702191,2023-04-28 09:24,f_f000027
f000027_900055,127.9213493,35.3543073,2023-04-28 09:25,f_f000027
f000027_900055,127.9350419,35.3439804,2023-04-28 09:26,f_f000027
f000027_900055,127.9350419,35.3439804,2023-04-28 09:27,f_f000027
f000027_900055,127.9350419,35.3439804,2023-04-28 09:27,f_f000027
f000027_900055,127.9395532,35.3214588,2023-04-28 09:28,f_f000027
f000027_900055,127.9388708,35.3120042,2023-04-28 09:29,f_f000027
f000027_900055,127.9478327,35.2954691,2023-04-28 09:30,f_f000027
f000027_900055,127.9506246,35.2910888,2023-04-28 09:30,f_f000027
f000027_900055,127.9575879,35.2873266,2023-04-28 09:31,f_f000027
f000027_900055,127.9645706,35.2840277,2023-04-28 09:31,f_f000027
f000027_900055,127.9691443,35.2789137,2023-04-28 09:32,f_f000027
f000027_900055,127.9730955,35.2732215,2023-04-28 09:32,f_f000027
f000027_900055,127.9737527,35.2718792,2023-04-28 09:33,f_f000027
f000027_900055,127.9758059,35.2592509,2023-04-28 09:33,f_f000027
f000027_900055,127.9758763,35.2527434,2023-04-28 09:33,f_f000027
f000027_900055,127.9760871,35.251787,2023-04-28 09:34,f_f000027
f000027_900055,127.9876302,35.243267,2023-04-28 09:34,f_f000027
f000027_900055,127.9934679,35.2385975,2023-04-28 09:35,f_f000027
f000027_900055,127.9951806,35.2352489,2023-04-28 09:36,f_f000027
f000027_900055,127.9950015,35.2187657,2023-04-28 09:36,f_f000027
f000027_900055,127.9950015,35.2187657,2023-04-28 09:37,f_f000027
f000027_900055,128.0080778,35.2103299,2023-04-28 09:37,f_f000027
f000027_900055,128.013086,35.2064179,2023-04-28 09:38,f_f000027
f000027_900055,128.0253573,35.1990905,2023-04-28 09:39,f_f000027
f000027_900055,128.0325177,35.1950741,2023-04-28 09:39,f_f000027
f000027_900055,128.0379597,35.1903674,2023-04-28 09:39,f_f000027
f000027_900055,128.0406386,35.1839734,2023-04-28 09:40,f_f000027
f000027_900055,128.0442362,35.1780349,2023-04-28 09:40,f_f000027
f000027_900055,128.0510793,35.1746536,2023-04-28 09:41,f_f000027
f000027_900055,128.05672,35.1702525,2023-04-28 09:41,f_f000027
f000027_900055,128.0616933,35.1651902,2023-04-28 09:42,f_f000027
f000027_900055,128.0667166,35.1600313,2023-04-28 09:42,f_f000027
f000027_900055,128.070783,35.1546921,2023-04-28 09:43,f_f000027
f000027_900055,128.0797663,35.1444826,2023-04-28 09:44,f_f000027
f000027_900055,128.0865399,35.1412999,2023-04-28 09:44,f_f000027
f000027_900055,128.0936709,35.1392796,2023-04-28 09:44,f_f000027
f000027_900055,128.0936709,35.1392796,2023-04-28 09:45,f_f000027
f000027_900055,128.0987145,35.1366927,2023-04-28 09:45,f_f000027
f000027_900055,128.0993695,35.1416608,2023-04-28 09:46,f_f000027
f000027_900055,128.1016926,35.1463837,2023-04-28 09:46,f_f000027
f000027_900055,128.1072837,35.1511184,2023-04-28 09:47,f_f000027
f000027_900055,128.1119721,35.1567692,2023-04-28 09:47,f_f000027
f000027_900055,128.1183211,35.1600482,2023-04-28 09:48,f_f000027
f000027_900055,128.1256904,35.1623985,2023-04-28 09:48,f_f000027
f000027_900055,128.1327133,35.1651896,2023-04-28 09:49,f_f000027
f000027_900055,128.1408053,35.1666002,2023-04-28 09:49,f_f000027
f000027_900055,128.1485301,35.1694234,2023-04-28 09:50,f_f000027
f000027_900055,128.1560761,35.1713231,2023-04-28 09:50,f_f000027
f000027_900055,128.1635138,35.1729247,2023-04-28 09:50,f_f000027
f000027_900055,128.1709274,35.1728282,2023-04-28 09:51,f_f000027
f000027_900055,128.1782892,35.1729677,2023-04-28 09:51,f_f000027
f000027_900055,128.1799129,35.1748302,2023-04-28 09:52,f_f000027
f000027_900055,128.1870479,35.1773105,2023-04-28 09:52,f_f000027
f000027_900055,128.2093083,35.1811812,2023-04-28 09:53,f_f000027
f000027_900055,128.2169867,35.1819026,2023-04-28 09:54,f_f000027
f000027_900055,128.2229685,35.1860257,2023-04-28 09:54,f_f000027
f000027_900055,128.2229685,35.1860257,2023-04-28 09:55,f_f000027
f000027_900055,128.2246234,35.1878262,2023-04-28 09:55,f_f000027
f000027_900055,128.2255602,35.1883975,2023-04-28 09:56,f_f000027
f000027_900055,128.2290105,35.1894577,2023-04-28 09:56,f_f000027
f000027_900055,128.2334745,35.1902116,2023-04-28 09:57,f_f000027
f000027_900055,128.238474,35.1897395,2023-04-28 09:57,f_f000027
f000027_900055,128.2428928,35.1886284,2023-04-28 09:57,f_f000027
f000027_900055,128.2458825,35.1891953,2023-04-28 09:58,f_f000027
f000027_900055,128.2489314,35.1891703,2023-04-28 09:58,f_f000027
f000027_900055,128.2516892,35.188306,2023-04-28 09:59,f_f000027
f000027_900055,128.2522833,35.1882983,2023-04-28 09:59,f_f000027
f000027_900055,128.2546068,35.1865728,2023-04-28 10:00,f_f000027
f000027_900055,128.2602492,35.1853673,2023-04-28 10:00,f_f000027
f000027_900055,128.2685425,35.1833694,2023-04-28 10:01,f_f000027
f000027_900055,128.271899,35.1784645,2023-04-28 10:01,f_f000027
f000027_900055,128.2739148,35.1716717,2023-04-28 10:02,f_f000027
f000027_900055,128.2791175,35.1673811,2023-04-28 10:02,f_f000027
f000027_900055,128.2864101,35.1653004,2023-04-28 10:02,f_f000027
f000027_900055,128.2949011,35.1636707,2023-04-28 10:03,f_f000027
f000027_900055,128.3021575,35.160828,2023-04-28 10:03,f_f000027
f000027_900055,128.3076145,35.156608,2023-04-28 10:04,f_f000027
f000027_900055,128.314625,35.1543162,2023-04-28 10:04,f_f000027
f000027_900055,128.3209512,35.1515299,2023-04-28 10:05,f_f000027
f000027_900055,128.3255419,35.1481156,2023-04-28 10:05,f_f000027
f000027_900055,128.3258274,35.1479633,2023-04-28 10:06,f_f000027
f000027_900055,128.3258274,35.1479633,2023-04-28 10:06,f_f000027
f000027_900055,128.3286735,35.1462599,2023-04-28 10:07,f_f000027
f000027_900055,128.3345152,35.1441699,2023-04-28 10:07,f_f000027
